mu,sigma
1.8579,0.379426
1.45978,0.443313
0.734725,1.08502
2.84679,1.55521
0.332435,2.07101
1.57642,0.202997
1.38332,0.313453
1.50005,0.49858
1.30534,0.280303
1.29928,0.5716
1.83095,0.379538
1.43545,0.453653
0.160557,0.818098
2.99561,0.777469
1.28022,0.496615
1.16662,0.291586
1.10373,1.60528
1.83833,0.233585
1.1383,0.363148
1.67057,0.366437
5.39127,2.95118
1.15387,0.300912
2.73694,1.66651
0.876575,1.36394
1.11425,0.173569
1.42213,0.132708
1.40459,0.13432
1.05916,0.586745
-0.341983,1.5868
1.08366,0.205186
0.886546,0.606763
0.282331,0.962651
1.29215,1.67442
1.64214,1.49395
1.8255,0.477541
1.50417,0.228575
1.4843,0.185436
1.24056,0.40827
0.658236,0.987869
1.7003,0.516827
0.155921,0.882736
0.028252,0.605859
1.43083,0.386607
0.839671,0.865575
1.34495,0.202141
1.87021,0.893306
2.01521,1.10256
0.703578,0.868096
0.935612,0.708511
1.75456,1.11577
1.7425,0.516634
2.38439,1.01728
1.34786,0.253329
0.472284,0.631487
1.60646,0.190856
2.41927,1.04279
0.410351,1.36892
1.6154,1.11657
2.55952,0.833995
0.896447,0.300212
1.40918,0.745539
1.02365,1.0924
1.26101,1.69203
1.54002,0.831831
2.04723,0.658632
1.80834,0.550927
1.70144,0.456205
2.19371,0.696739
1.80985,0.996133
1.63756,0.624381
3.6289,1.02014
2.30159,0.616221
-1.00312,2.42569
-4.32539,2.30714
-1.31843,1.64826
0.731645,0.937768
2.47769,2.42549
1.10142,0.43342
-0.357588,1.18273
1.19288,1.04982
0.508655,1.52782
1.52632,1.10128
0.533162,0.463597
-1.79722,1.4849
1.81988,0.765665
1.94587,0.285014
0.463089,1.01799
0.322462,0.498009
-1.11097,3.40273
2.34985,1.01521
4.85346,1.44021
1.27051,0.63455
1.35238,0.275891
1.7053,0.964456
-0.254964,1.45702
1.47166,0.320994
2.06774,1.3642
0.967947,1.09583
1.45337,0.155869
1.24161,0.132626
1.32221,0.0922932
1.32221,0.0922932
1.57195,0.159208
-0.117969,3.00771
-0.961236,2.99726
2.19376,0.485844
-0.0597388,1.37277
2.18202,1.14089
2.78583,0.706519
2.01276,0.685413
2.18789,1.68131
1.03618,0.434257
1.69934,0.326316
0.991268,0.412017
1.52978,0.322318
1.10178,1.00554
0.663182,0.779362
2.12524,1.08341
1.89907,0.580134
1.75461,0.358825
0.580546,0.758379
1.38817,1.06645
1.3845,0.515967
2.58149,0.822778
1.36715,0.722144
1.05009,0.299018
1.05595,0.363729
1.98415,1.66769
0.980202,1.36105
2.39917,0.693524
0.468146,1.26074
1.95638,0.69672
0.051635,0.649307
0.633591,1.12325
2.32773,1.32855
1.7177,0.372535
0.475499,1.40193
0.636825,0.742839
1.32217,0.829436
1.33612,0.61989
1.82042,0.432803
-1.0948,1.03194
1.80414,1.82236
1.33031,0.233736
2.37275,1.14718
1.66982,0.559037
1.70868,0.298651
0.841238,0.789062
1.00415,0.485501
1.40269,0.520357
2.73311,1.3746
2.49318,1.16662
4.84745,2.07273
-0.419792,2.2098
1.53255,0.267189
1.73517,0.597793
1.37696,0.988333
0.781024,2.02228
1.10418,0.638863
2.48236,1.24288
0.991151,0.760334
1.33797,0.698717
2.75169,0.940264
1.19083,0.158908
6.60871,1.87873
1.56932,0.633238
-2.21708,1.75831
1.1763,0.640176
1.36716,0.451598
0.802646,1.34641
0.528374,1.40472
-0.34196,1.29148
0.920707,1.31698
1.09294,0.41177
0.678649,0.835387
0.407779,1.94142
2.18914,0.415291
2.03046,0.791704
1.57068,1.18588
1.47301,0.387501
1.39867,0.138024
1.59505,0.135335
1.95146,0.715726
-0.807224,1.88697
0.167714,1.0129
0.712081,0.621127
-0.0198992,1.85714
0.807957,2.04832
1.28802,0.397012
-1.76987,1.37314
0.589809,1.26896
1.45239,0.255631
0.423398,0.55101
2.48141,1.54407
1.51261,0.351083
-1.93976,1.32087
0.54151,0.969717
2.66299,0.681616
1.02356,0.407698
0.747848,0.755113
0.679302,1.32468
1.41777,0.208234
0.895545,0.421294
1.73224,0.61921
5.42512,1.49371
1.0221,0.837461
0.860246,0.571955
0.818816,0.680747
1.70406,0.524715
1.48551,0.129951
1.30951,0.142513
1.87864,0.666491
1.07233,1.42402
1.85793,0.672481
1.29997,0.346763
0.379016,1.02156
1.92603,0.375796
2.7693,1.2515
0.199391,0.949385
1.62711,0.32547
1.12023,0.520877
0.505922,1.25966
2.32886,0.796571
1.94363,2.45473
2.02113,1.10688
2.39175,0.389951
0.914899,0.628718
1.67332,2.04884
2.00031,0.313758
1.63314,0.361234
1.39348,1.14861
1.14159,0.362562
5.4736,2.76526
0.0672171,0.730585
-1.37272,1.9648
0.637963,1.27099
1.92794,0.739699
2.99813,1.41022
0.383353,1.383
0.399585,1.23734
1.02185,0.478552
2.54834,2.52434
1.50504,0.132272
1.61387,0.954916
1.30364,0.431157
2.96194,0.932119
0.122343,0.711632
1.70942,0.150703
1.70942,0.150703
1.19917,0.156681
0.596642,0.6323
1.64268,0.221186
1.59242,0.407618
1.429,0.483259
1.6526,0.158001
1.19812,0.242292
0.502015,0.965265
1.51742,0.389862
1.60996,0.41595
2.09478,2.68891
1.48241,0.680234
1.36384,1.95383
1.13196,0.413559
1.76907,0.887497
1.62173,0.537481
1.32898,0.451476
1.01479,1.64234
1.39341,0.207248
1.84697,0.593661
-0.123288,1.23647
0.749627,0.577226
1.48399,0.232476
0.365188,1.44064
1.41561,0.190498
1.02248,0.56131
1.88005,0.745382
0.74072,0.487055
1.45945,0.555081
1.99133,0.541946
1.86618,0.356344
0.77272,1.29959
-1.47066,1.32026
0.247489,1.16823
1.84794,0.204305
1.65434,1.01954
1.72055,0.372734
4.2325,1.44943
3.13316,2.3003
1.93493,0.31344
1.33234,0.590063
1.48745,0.469075
1.36701,0.314324
2.01946,0.601962
-0.72788,0.800388
-0.476105,1.0919
1.46352,0.277513
1.22582,0.641658
1.25461,0.228089
2.73901,1.50815
1.98981,1.53811
1.49385,0.195067
1.64577,0.854422
0.67881,0.699582
2.98942,1.72325
1.33674,0.60968
2.83209,1.19069
1.25632,0.276223
1.76567,0.811136
1.09283,1.13296
5.67423,2.237
1.13394,0.33986
1.46437,0.238233
1.08925,0.908158
1.00234,0.150508
1.43442,0.941914
0.784264,1.44069
1.11666,0.149499
1.24021,0.389167
1.10583,0.405799
1.8827,1.8677
1.80152,0.468888
0.45204,1.82446
1.39412,0.115186
1.33769,0.40703
1.29448,0.584264
1.67698,0.548514
1.41861,0.212425
0.778107,1.23942
3.50233,1.6308
1.85148,0.708094
1.71543,1.63668
2.45054,1.15082
2.18944,0.29581
1.98929,0.480599
1.60685,1.82041
1.33613,1.26694
1.12539,0.466991
1.79269,0.98026
1.38375,0.307724
1.22686,0.300987
1.44413,0.140252
1.44413,0.140252
1.74917,0.279259
1.8327,1.77027
2.29992,1.96127
1.87398,0.533625
2.16413,1.33936
1.40128,0.113346
1.42207,0.0961267
1.36781,0.0874315
1.33685,0.100436
1.33685,0.100436
1.48755,0.117158
1.4413,0.291944
3.05261,0.67044
1.73524,0.248072
1.49516,0.246936
1.73276,1.57506
1.32082,2.06324
3.36926,1.80102
2.53691,1.0015
1.45781,0.270592
1.82586,0.843824
1.45746,0.419833
4.63283,2.60396
0.288909,0.795985
-0.114037,1.35594
0.379319,1.30355
1.31358,1.29552
-0.334697,1.96352
1.42656,0.222583
0.78123,1.67484
2.36331,0.597659
2.06828,0.223487
2.39083,1.34524
2.27476,0.634872
0.531338,1.44614
1.5247,0.451343
-0.813408,0.954926
-0.578959,1.77681
1.18833,0.464874
1.54278,0.271314
1.56068,0.362777
1.85443,0.333471
1.99857,0.68171
1.31099,0.481648
1.01676,0.271481
1.93102,0.504007
1.51763,2.0098
1.20479,0.209117
1.21424,0.371864
1.11147,0.455324
2.92585,1.12829
1.22247,0.535196
1.39904,0.28864
2.45133,1.37933
0.816808,0.673795
1.40931,0.694649
0.307261,1.7994
1.64952,0.508255
2.82203,1.87139
1.03385,0.733111
1.84474,0.553161
1.24127,1.29365
1.60353,0.631452
0.0695667,0.981045
1.63784,0.681344
1.49108,0.182393
1.40997,0.611217
1.46417,0.27249
2.70273,0.662208
0.960786,1.0799
1.43146,0.582873
1.82442,0.805883
1.45753,0.360892
1.55401,0.378459
1.63561,0.523693
1.37718,0.180106
2.10395,0.41479
0.690224,0.530653
4.30199,1.23425
2.48194,0.782187
1.07796,0.666748
1.77463,0.304258
1.27236,0.183068
1.54515,0.745379
1.72551,1.60296
0.274576,0.427994
0.110047,1.05814
1.37273,1.17241
1.29507,0.632972
1.25835,1.14245
0.808866,0.407228
1.66368,0.400213
4.20068,3.18307
4.91383,1.20453
2.0185,1.72329
-1.13873,2.20912
0.889999,0.804432
1.48701,0.937879
1.24131,1.33171
1.43428,0.486014
-1.57777,1.56157
4.34443,1.49144
0.754481,0.299853
1.22102,0.622107
1.26425,0.45916
5.21749,1.42419
1.8068,0.657731
0.909624,0.50125
1.41313,0.184254
1.40856,0.116405
1.35589,0.535415
1.04268,0.336099
1.45984,0.704138
2.5743,1.58646
1.23259,0.323086
0.682837,1.1465
4.37764,1.85301
2.1,0.738461
1.2955,1.90992
1.84388,1.24502
0.524113,1.91634
0.599147,0.894476
1.66489,0.7905
1.49576,1.59102
1.34103,0.941433
1.51366,0.356497
1.35456,0.278613
0.258755,0.66329
1.58561,2.2057
1.27121,0.338334
1.34709,0.16194
1.46182,0.132779
1.4495,0.0997482
1.56094,0.16225
1.27641,0.72901
1.77017,1.02838
0.848217,0.855402
1.49702,0.169675
1.3787,0.29963
2.72234,0.688169
0.801733,0.589337
0.0464595,1.10869
2.95875,0.987877
2.0689,2.33725
2.1941,1.06198
0.94465,0.80206
1.70893,1.24355
1.80913,0.190723
1.94391,0.835753
1.89929,0.426693
1.128,2.69748
0.452285,0.625204
0.92266,1.56309
0.590172,2.04444
1.43623,0.122984
1.49894,0.228308
1.13514,0.864917
-0.0492263,2.97613
2.31861,1.02465
-1.18987,1.8181
1.21112,0.309473
2.11158,0.44156
3.91767,1.90339
3.3519,2.0889
1.4115,0.688739
2.00434,1.01409
1.48219,0.11477
1.36678,0.105794
1.36296,0.101655
1.36296,0.101655
1.49049,0.14024
1.58487,0.185132
2.42036,0.845133
-1.78701,1.52167
1.7129,0.860215
0.706323,0.548406
1.55986,0.683541
1.1581,0.345516
0.472255,0.489426
1.37191,0.859972
2.19441,0.586856
2.91355,1.50729
1.52033,0.157389
3.0847,2.15957
0.852624,0.277588
1.97237,0.35552
0.575552,1.68475
1.31934,0.326303
1.45044,0.986628
-1.4051,1.67104
-1.96069,1.7805
0.908674,1.17947
1.34959,0.294253
1.50216,0.867855
3.29292,2.31853
1.29678,0.623337
0.66212,0.863668
2.04286,0.457577
2.49973,1.42048
1.0076,0.47193
1.2723,1.62008
1.82004,0.780581
-0.694173,0.835021
-0.957532,1.09011
0.28174,0.940209
-0.705694,1.08959
2.20199,1.32971
2.76251,1.42279
4.04081,2.02841
1.49974,0.677058
1.05178,0.586764
0.819596,0.891403
2.97978,0.913866
-0.00842256,1.74626
1.10135,0.57578
1.384,0.443125
1.64898,0.413952
1.88898,0.335244
0.373457,0.943179
0.874181,1.11141
1.69177,0.569825
1.89276,0.242011
1.20307,0.148334
1.93735,0.626886
1.67859,0.497421
2.19493,0.955906
1.39748,0.599044
1.37343,1.77004
1.85288,1.0326
2.25532,1.20396
2.02012,1.62641
2.06117,1.767
1.39927,0.949186
1.17838,0.439515
1.87275,1.25563
0.0534254,1.05275
0.622364,0.847374
1.56955,0.66745
1.67627,0.307913
-0.828248,1.01332
1.481,0.537582
1.75681,1.13276
1.64548,0.448382
1.54746,0.219424
0.260732,0.683164
-0.214629,1.68846
1.57338,0.134672
1.25448,0.165135
1.10277,0.549563
1.13305,0.265486
-0.661972,1.14376
0.818465,0.949212
2.21969,0.847265
2.68566,1.77114
0.748549,0.424566
1.39881,0.248553
1.96469,1.1648
-0.386407,0.626322
0.439438,1.54555
1.16437,0.85899
1.38243,0.154928
1.41579,0.129614
1.94972,0.596421
1.77144,0.910806
0.838122,0.889181
1.64146,0.633395
1.36704,0.801638
0.174957,0.813193
1.9192,0.955407
0.863269,1.05996
1.28613,0.464977
0.885858,1.34049
0.301927,1.82564
1.47023,1.31022
0.64688,1.40069
1.99905,0.810083
1.26613,2.17258
1.06849,0.137401
1.2296,0.769771
0.0240962,1.0624
1.87987,0.706421
1.65432,0.924852
1.31186,0.314085
1.46571,0.0764955
1.46571,0.0764955
1.43553,0.0837709
0.975688,0.65845
-0.160302,1.45355
1.87715,0.41048
1.56692,0.329446
1.10826,0.890238
1.57474,1.11513
0.802842,1.97774
1.3518,0.139267
1.28028,0.15031
1.55396,0.162099
1.34736,0.12805
1.39722,0.0809284
1.39722,0.0809284
1.39722,0.0809284
1.32424,0.113938
1.06601,0.406895
1.90911,2.37434
1.87364,0.593672
1.58778,0.120907
1.25588,0.80326
1.58923,0.346186
0.73366,0.74075
2.03015,1.28447
2.55717,0.507601
0.738367,0.505837
1.27443,0.228338
1.33991,0.342294
1.90266,0.425886
-3.79665,2.37013
0.209517,1.17171
2.19446,0.411118
1.43214,0.326363
1.98219,0.601552
1.70782,0.90275
1.52641,0.216291
0.855933,0.33823
1.92904,0.350259
1.34601,0.120761
1.41286,0.0836854
1.3446,0.1063
1.42664,0.0968689
1.16214,0.865195
0.999103,0.211107
1.35202,1.04555
1.43393,1.19846
-1.18469,1.81688
1.59576,0.217307
1.1542,0.361846
2.84778,1.87986
2.16146,0.947537
1.26886,0.994131
1.46143,0.164406
1.1367,0.268178
1.86771,0.58781
1.44124,0.630315
0.736918,0.480445
1.10883,0.465755
1.94932,0.707652
1.39951,1.00274
1.51574,0.890753
-1.0171,1.90145
-0.49888,1.607
0.609077,0.463842
1.30606,0.301262
0.665585,0.374135
1.60139,0.258291
1.37103,0.978348
2.1145,1.594
2.39031,1.18386
0.100523,1.36303
1.3014,0.765331
1.22893,0.27842
1.73,0.980445
1.48309,1.62556
0.920982,1.73964
1.16167,0.247895
3.43241,2.18409
0.818552,0.707222
1.3349,0.193343
2.61508,0.618755
0.595765,0.777101
1.33018,0.203807
1.00785,1.58513
1.29073,0.680055
1.8665,1.52812
1.7436,0.62583
1.15996,0.392032
1.56916,0.286959
1.1199,0.773864
1.15935,0.294669
2.63459,0.638607
2.41509,0.623493
1.60496,1.46146
1.88651,0.837036
1.65012,0.995153
2.12292,0.945909
1.31675,0.434344
1.54148,1.58783
-2.32111,2.04306
3.13621,1.05797
-0.517194,1.63901
3.00018,0.983951
1.58577,0.960289
1.99013,0.365994
2.4688,1.95423
1.55504,1.24931
2.26254,0.715345
1.71323,1.05783
0.353986,1.43365
0.68782,0.657036
2.15694,1.71218
1.67287,0.813853
1.45573,0.33806
2.49577,1.43575
2.12919,1.24101
0.984129,0.299005
-0.286635,1.66736
0.0340583,1.08988
1.35022,0.916708
1.57298,0.328639
1.44538,0.327997
1.85003,0.324984
1.80689,0.396951
1.38711,0.240647
1.41039,0.426523
1.46538,0.31373
0.707708,1.50448
1.5012,0.745198
0.435159,0.619198
1.07806,0.212057
1.44271,0.250035
0.395754,0.824953
1.33927,0.837002
2.05206,0.969684
5.16256,2.51068
1.33567,1.14681
2.70551,1.49311
1.07814,0.654604
1.15757,0.475499
2.37439,1.41067
1.58764,0.699192
1.22073,0.65053
1.82881,0.651399
1.42315,1.10383
1.42465,0.553752
0.394233,1.037
